W-P,First Choice,Second Choice,Third Choice,Count,undervote,undervote*count,overvote,Total Irregularities,Duplicates,
8-Jun,A.M. RAHAMAN,RYB,XXX,1,1,1,0,1,0,FALSE
3-Jan,AL STANBURY,XXX,XXX,1,2,1,,,,31748
5-Jul,ANYA BUSCH,KOL,XXX,1,1,1,,,,
10-Aug,ANYBODY BUT RYBAK,FIS,EVE,1,0,0,,,,
3-Oct,ANYONE ELSE,XXX,XXX,1,2,1,,,,
7-Oct,ARVONNE FRASER,LOM,RYB,1,0,0,,,,
2-Jan,BLAKE W. REIMER,RYB,LOM,1,0,0,,,,
10-Apr,BOB MILLER,EVE,KOL,1,0,0,,,,
8-Apr,BOB MILLER,EVE,RYB,2,0,0,,,,
6-Oct,BOB MILLER,FLO,FRA,1,0,0,,,,
2-Jan,BOB MILLER,FRA,CLA,1,0,0,,,,
9-Dec,BOB MILLER,FRA,KOL,1,0,0,,,,
4-Sep,BOB MILLER,KOL,CAROL PASS,1,0,0,,,,
1-Aug,BOB MILLER,KOL,EVE,1,0,0,,,,
3-Dec,BOB MILLER,KOL,FLO,1,0,0,,,,
6-Dec,BOB MILLER,KOL,FLO,1,0,0,,,,
13-03,BOB MILLER,KOL,FLO,1,0,0,,,,
10-Aug,BOB MILLER,KOL,FRA,1,0,0,,,,
6-Dec,BOB MILLER,KOL,FRA,1,0,0,,,,
6-Dec,BOB MILLER,KOL,PETER MCLAUGHLIN,1,0,0,,,,
6-Aug,BOB MILLER,KOL,RYB,1,0,0,,,,
8-Nov,BOB MILLER,KOL,RYB,1,0,0,,,,
6-Mar,BOB MILLER,KOL,XXX,1,1,1,,,,
1-Jun,BOB MILLER,KOL,XXX,1,1,1,,,,
2-Jun,BOB MILLER,KOL,XXX,1,1,1,,,,
3-Sep,BOB MILLER,KOL,XXX,2,1,2,,,,
4-Sep,BOB MILLER,KOL,XXX,3,1,3,,,,
8-Sep,BOB MILLER,KOL,XXX,1,1,1,,,,
5-Dec,BOB MILLER,KOL,XXX,1,1,1,,,,
13-06,BOB MILLER,PERER MACLAUGHLIN,XXX,1,1,1,,,,
4-Apr,BOB MILLER,PETER MCLAUGHLIN,KOL,1,0,0,,,,
2-Jul,BOB MILLER,PETER MCLAUGHLIN,XXX,2,1,2,,,,
10-Aug,BOB MILLER,PETER MCLAUGHLIN,XXX,1,1,1,,,,
9-Nov,BOB MILLER,RYB,FRA,2,0,0,,,,
9-Jan,BOB MILLER,RYB,XXX,2,1,2,,,,
3-Feb,BOB MILLER,RYB,XXX,1,1,1,,,,
3-Mar,BOB MILLER,RYB,XXX,1,1,1,,,,
6-Mar,BOB MILLER,RYB,XXX,1,1,1,,,,
5-Nov,BOB MILLER,RYB,XXX,1,1,1,,,,
2-Dec,BOB MILLER,RYB,XXX,1,1,1,,,,
13-09,BOB MILLER,RYB,XXX,1,1,1,,,,
9-Mar,BOB MILLER,SHARON SAYLES BELTON,RYB,1,0,0,,,,
1-Mar,BOB MILLER,XXX,XXX,2,2,2,,,,
3-May,BOB MILLER,XXX,XXX,1,2,1,,,,
2-Jun,BOB MILLER,XXX,XXX,1,2,1,,,,
2-Jul,BOB MILLER,XXX,XXX,3,2,3,,,,
1-Aug,BOB MILLER,XXX,XXX,3,2,3,,,,
2-Aug,BOB MILLER,XXX,XXX,1,2,1,,,,
2-Dec,BOB MILLER,XXX,XXX,2,2,2,,,,
11-Dec,BOB MILLER,XXX,XXX,1,2,1,,,,
13-01,BOB MILLER,XXX,XXX,2,2,2,,,,
13-09,BOB MILLER,XXX,XXX,1,2,1,,,,
2-Oct,BOB MILLER (NRP DIRECTOR),XXX,XXX,1,2,1,,,,
2-Sep,BOB MILLER NRP,RYB,KOL,1,0,0,,,,
2-Feb,BOB MILLER NRP,RYB,LOM,1,0,0,,,,
1-Jan,BOB MILLER NRP,XXX,XXX,2,2,2,,,,
3-Apr,BOB MILLER OF THE NRP,RYB,XXX,1,1,1,,,,
1-Dec,"BOB MILLER, NRP",KOL,FLO,1,0,0,,,,
4-Jun,"BOB MILLER, NRP",KOL,RYB,1,0,0,,,,
10-Sep,"BOB MILLER, NRP",RYB,XXX,1,1,1,,,,
6-Nov,BOB NOBLE,XXX,XXX,1,2,1,,,,
2-Dec,BRUCE MARSH,KOL,FLO,1,0,0,,,,
13-07,C. CHARLES CARUSO,XXX,XXX,1,2,1,,,,
5-Jun,CAR,CLA,FIS,1,0,0,,,,
2-Jan,CAR,CLA,FLO,1,0,0,,,,
7-Sep,CAR,CLA,FRA,2,0,0,,,,
9-Dec,CAR,CLA,FRA,1,0,0,,,,
13-06,CAR,CLA,FRA,1,0,0,,,,
9-Oct,CAR,CLA,KOL,1,0,0,,,,
13-08,CAR,CLA,KOL,1,0,0,,,,
7-Apr,CAR,CLA,LOM,1,0,0,,,,
13-08,CAR,CLA,LOM,1,0,0,,,,
4-Nov,CAR,CLA,MCG,1,0,0,,,,
3-Jan,CAR,CLA,RYB,1,0,0,,,,
5-Feb,CAR,CLA,RYB,1,0,0,,,,
6-Jul,CAR,CLA,RYB,1,0,0,,,,
13-03,CAR,CLA,RYB,1,0,0,,,,
13-04,CAR,CLA,WIL,1,0,0,,,,
1-Jan,CAR,CLA,XXX,1,1,1,,,,
1-Oct,CAR,CLA,XXX,1,1,1,,,,
8-Dec,CAR,CLA,XXX,1,1,1,,,,
13-10,CAR,CLA,XXX,1,1,1,,,,
13-02,CAR,ERIK STROMBERG,XXX,1,1,1,,,,
13-01,CAR,EVE,MCG,1,0,0,,,,
13-08,CAR,EVE,RYB,1,0,0,,,,
13-10,CAR,EVE,WIL,2,0,0,,,,
4-Jul,CAR,FIS,CLA,1,0,0,,,,
6-Apr,CAR,FIS,FLO,1,0,0,,,,
6-Apr,CAR,FIS,MCG,2,0,0,,,,
6-Aug,CAR,FIS,RYB,1,0,0,,,,
8-Dec,CAR,FIS,RYB,1,0,0,,,,
1-Jul,CAR,FLO,FRA,1,0,0,,,,
10-Aug,CAR,FLO,FRA,1,0,0,,,,
8-Oct,CAR,FLO,KOL,2,0,0,,,,
2-Dec,CAR,FLO,RYB,2,0,0,,,,
6-Jul,CAR,FLO,XXX,1,1,1,,,,
6-Nov,CAR,FLO,XXX,1,1,1,,,,
13-10,CAR,FRA,CLA,1,0,0,,,,
4-May,CAR,FRA,EVE,1,0,0,,,,
10-Feb,CAR,FRA,FIS,1,0,0,,,,
2-Feb,CAR,FRA,FLO,1,0,0,,,,
7-Mar,CAR,FRA,FLO,1,0,0,,,,
5-May,CAR,FRA,FLO,1,0,0,,,,
13-08,CAR,FRA,KOL,1,0,0,,,,
3-Apr,CAR,FRA,MCG,1,0,0,,,,
8-Aug,CAR,FRA,MCG,1,0,0,,,,
4-Apr,CAR,FRA,RYB,2,0,0,,,,
8-May,CAR,FRA,RYB,1,0,0,,,,
8-Jun,CAR,FRA,RYB,1,0,0,,,,
8-Dec,CAR,FRA,RYB,1,0,0,,,,
7-Aug,CAR,FRA,XXX,1,1,1,,,,
7-Apr,CAR,KOL,CLA,1,0,0,,,,
5-Sep,CAR,KOL,CLA,1,0,0,,,,
8-Nov,CAR,KOL,CLA,1,0,0,,,,
11-Dec,CAR,KOL,CLA,1,0,0,,,,
13-08,CAR,KOL,CLA,1,0,0,,,,
13-05,CAR,KOL,EVE,1,0,0,,,,
4-Oct,CAR,KOL,FRA,1,0,0,,,,
13-05,CAR,KOL,FRA,1,0,0,,,,
5-Apr,CAR,KOL,LOM,1,0,0,,,,
9-May,CAR,KOL,LOM,1,0,0,,,,
1-Aug,CAR,KOL,LOM,1,0,0,,,,
6-Aug,CAR,KOL,LOM,1,0,0,,,,
1-Sep,CAR,KOL,LOM,1,0,0,,,,
8-Oct,CAR,KOL,LOM,1,0,0,,,,
1-Nov,CAR,KOL,LOM,1,0,0,,,,
9-Aug,CAR,KOL,MCG,1,0,0,,,,
7-Jul,CAR,KOL,RIED LABEAU,1,0,0,,,,
2-Feb,CAR,KOL,RYB,1,0,0,,,,
2-May,CAR,KOL,RYB,1,0,0,,,,
7-Jul,CAR,KOL,RYB,1,0,0,,,,
9-Jul,CAR,KOL,RYB,1,0,0,,,,
1-Aug,CAR,KOL,RYB,1,0,0,,,,
2-Oct,CAR,KOL,RYB,1,0,0,,,,
4-Nov,CAR,KOL,RYB,1,0,0,,,,
3-Dec,CAR,KOL,RYB,1,0,0,,,,
13-02,CAR,KOL,RYB,1,0,0,,,,
13-04,CAR,KOL,RYB,1,0,0,,,,
9-Jul,CAR,KOL,WIL,1,0,0,,,,
13-04,CAR,KOL,WIL,1,0,0,,,,
11-Jul,CAR,KOL,XXX,1,1,1,,,,
7-Sep,CAR,KOL,XXX,1,1,1,,,,
8-Sep,CAR,KOL,XXX,1,1,1,,,,
11-Dec,CAR,KOL,XXX,1,1,1,,,,
13-08,CAR,KOL,XXX,1,1,1,,,,
4-Apr,CAR,LOM,CLA,1,0,0,,,,
8-Oct,CAR,LOM,CLA,1,0,0,,,,
9-Nov,CAR,LOM,KOL,1,0,0,,,,
4-Mar,CAR,LOM,MCG,1,0,0,,,,
7-Jul,CAR,LOM,MCG,1,0,0,,,,
13-08,CAR,LOM,MCG,1,0,0,,,,
4-Jan,CAR,LOM,RYB,1,0,0,,,,
7-Apr,CAR,LOM,RYB,1,0,0,,,,
5-Nov,CAR,LOM,RYB,1,0,0,,,,
7-Jun,CAR,LOM,WIL,1,0,0,,,,
1-Apr,CAR,LOM,XXX,1,1,1,,,,
7-Feb,CAR,MCG,CLA,1,0,0,,,,
13-05,CAR,MCG,CLA,1,0,0,,,,
9-Jan,CAR,MCG,EVE,1,0,0,,,,
10-Feb,CAR,MCG,FIS,1,0,0,,,,
2-May,CAR,MCG,FRA,1,0,0,,,,
1-May,CAR,MCG,KOL,1,0,0,,,,
13-07,CAR,MCG,KOL,1,0,0,,,,
9-Jan,CAR,MCG,XXX,1,1,1,,,,
3-Jun,CAR,MCG,XXX,1,1,1,,,,
9-Nov,CAR,PHILLIP ESSINGTON,XXX,1,1,1,,,,
1-Apr,CAR,RYB,CLA,1,0,0,,,,
4-Jun,CAR,RYB,EVE,1,0,0,,,,
1-Aug,CAR,RYB,FIS,1,0,0,,,,
5-Nov,CAR,RYB,FIS,1,0,0,,,,
9-Jan,CAR,RYB,FLO,1,0,0,,,,
8-Feb,CAR,RYB,FLO,1,0,0,,,,
2-Sep,CAR,RYB,FLO,1,0,0,,,,
13-02,CAR,RYB,FLO,1,0,0,,,,
4-May,CAR,RYB,FRA,1,0,0,,,,
2-Nov,CAR,RYB,FRA,1,0,0,,,,
2-Dec,CAR,RYB,FRA,1,0,0,,,,
5-Feb,CAR,RYB,KOL,1,0,0,,,,
4-Oct,CAR,RYB,KOL,1,0,0,,,,
13-09,CAR,RYB,KOL,1,0,0,,,,
2-Mar,CAR,RYB,LOM,1,0,0,,,,
7-Aug,CAR,RYB,MCG,1,0,0,,,,
4-Nov,CAR,RYB,MCG,1,0,0,,,,
1-Jan,CAR,RYB,XXX,1,1,1,,,,
3-Jan,CAR,RYB,XXX,2,1,2,,,,
6-Jan,CAR,RYB,XXX,1,1,1,,,,
1-Apr,CAR,RYB,XXX,1,1,1,,,,
6-Apr,CAR,RYB,XXX,1,1,1,,,,
2-Jul,CAR,RYB,XXX,1,1,1,,,,
6-Aug,CAR,RYB,XXX,1,1,1,,,,
1-Nov,CAR,RYB,XXX,1,1,1,,,,
2-Nov,CAR,RYB,XXX,1,1,1,,,,
5-Nov,CAR,RYB,XXX,1,1,1,,,,
2-Dec,CAR,RYB,XXX,2,1,2,,,,
8-Dec,CAR,RYB,XXX,1,1,1,,,,
13-03,CAR,RYB,XXX,1,1,1,,,,
13-07,CAR,RYB,XXX,1,1,1,,,,
5-May,CAR,WIL,LOM,1,0,0,,,,
2-Jan,CAR,XXX,XXX,1,2,1,,,,
3-Jan,CAR,XXX,XXX,1,2,1,,,,
5-Jan,CAR,XXX,XXX,2,2,2,,,,
6-Jan,CAR,XXX,XXX,1,2,1,,,,
7-Jan,CAR,XXX,XXX,1,2,1,,,,
8-Jan,CAR,XXX,XXX,1,2,1,,,,
2-Feb,CAR,XXX,XXX,1,2,1,,,,
3-Feb,CAR,XXX,XXX,1,2,1,,,,
6-Feb,CAR,XXX,XXX,2,2,2,,,,
1-Mar,CAR,XXX,XXX,1,2,1,,,,
3-Mar,CAR,XXX,XXX,1,2,1,,,,
5-Mar,CAR,XXX,XXX,2,2,2,,,,
6-Mar,CAR,XXX,XXX,2,2,2,,,,
4-Apr,CAR,XXX,XXX,4,2,4,,,,
10-Apr,CAR,XXX,XXX,1,2,1,,,,
2-May,CAR,XXX,XXX,2,2,2,,,,
4-May,CAR,XXX,XXX,1,2,1,,,,
6-May,CAR,XXX,XXX,3,2,3,,,,
8-May,CAR,XXX,XXX,1,2,1,,,,
7-Jun,CAR,XXX,XXX,1,2,1,,,,
2-Jul,CAR,XXX,XXX,3,2,3,,,,
3-Jul,CAR,XXX,XXX,2,2,2,,,,
4-Jul,CAR,XXX,XXX,1,2,1,,,,
6-Jul,CAR,XXX,XXX,1,2,1,,,,
10-Jul,CAR,XXX,XXX,1,2,1,,,,
2-Aug,CAR,XXX,XXX,1,2,1,,,,
5-Aug,CAR,XXX,XXX,1,2,1,,,,
6-Aug,CAR,XXX,XXX,1,2,1,,,,
1-Sep,CAR,XXX,XXX,1,2,1,,,,
2-Sep,CAR,XXX,XXX,2,2,2,,,,
8-Sep,CAR,XXX,XXX,2,2,2,,,,
2-Oct,CAR,XXX,XXX,2,2,2,,,,
5-Oct,CAR,XXX,XXX,1,2,1,,,,
8-Oct,CAR,XXX,XXX,3,2,3,,,,
2-Nov,CAR,XXX,XXX,1,2,1,,,,
4-Nov,CAR,XXX,XXX,5,2,5,,,,
5-Nov,CAR,XXX,XXX,1,2,1,,,,
6-Nov,CAR,XXX,XXX,3,2,3,,,,
7-Nov,CAR,XXX,XXX,1,2,1,,,,
8-Nov,CAR,XXX,XXX,1,2,1,,,,
1-Dec,CAR,XXX,XXX,1,2,1,,,,
2-Dec,CAR,XXX,XXX,1,2,1,,,,
5-Dec,CAR,XXX,XXX,1,2,1,,,,
6-Dec,CAR,XXX,XXX,1,2,1,,,,
7-Dec,CAR,XXX,XXX,1,2,1,,,,
8-Dec,CAR,XXX,XXX,1,2,1,,,,
10-Dec,CAR,XXX,XXX,1,2,1,,,,
13-01,CAR,XXX,XXX,3,2,3,,,,
13-02,CAR,XXX,XXX,1,2,1,,,,
13-03,CAR,XXX,XXX,1,2,1,,,,
13-04,CAR,XXX,XXX,3,2,3,,,,
13-06,CAR,XXX,XXX,1,2,1,,,,
13-07,CAR,XXX,XXX,1,2,1,,,,
13-08,CAR,XXX,XXX,1,2,1,,,,
13-10,CAR,XXX,XXX,3,2,3,,,,
4-Jan,CHAD SNYDER,FRA,FIS,1,0,0,,,,
6-Dec,CHRIS COLEMAN,XXX,XXX,1,2,1,,,,
1-Nov,CHRISTIAN SANDE,XXX,XXX,1,2,1,,,,
6-Oct,CLA,ANY CONSERVATIVE,XXX,1,1,1,,,,
13-06,CLA,ANYONE BUT RT,XXX,1,1,1,,,,
2-Feb,CLA,BOB FINE,XXX,1,1,1,,,,
2-Jul,CLA,CAR,EVE,1,0,0,,,,
13-04,CLA,CAR,EVE,1,0,0,,,,
8-Jan,CLA,CAR,FIS,1,0,0,,,,
1-Apr,CLA,CAR,FIS,1,0,0,,,,
5-Dec,CLA,CAR,FIS,1,0,0,,,,
1-Nov,CLA,CAR,FRA,1,0,0,,,,
7-Nov,CLA,CAR,JESSE VENTURA,1,0,0,,,,
3-Jan,CLA,CAR,KOL,1,0,0,,,,
7-Jan,CLA,CAR,KOL,1,0,0,,,,
5-Apr,CLA,CAR,KOL,2,0,0,,,,
8-Apr,CLA,CAR,KOL,1,0,0,,,,
9-Apr,CLA,CAR,KOL,1,0,0,,,,
2-Jun,CLA,CAR,KOL,1,0,0,,,,
8-Jul,CLA,CAR,KOL,1,0,0,,,,
3-Aug,CLA,CAR,KOL,1,0,0,,,,
7-Aug,CLA,CAR,KOL,1,0,0,,,,
2-Nov,CLA,CAR,KOL,1,0,0,,,,
8-Nov,CLA,CAR,KOL,1,0,0,,,,
13-06,CLA,CAR,KOL,1,0,0,,,,
6-Jan,CLA,CAR,LOM,1,0,0,,,,
1-May,CLA,CAR,LOM,1,0,0,,,,
5-Jul,CLA,CAR,LOM,1,0,0,,,,
10-Aug,CLA,CAR,LOM,1,0,0,,,,
1-Oct,CLA,CAR,LOM,1,0,0,,,,
2-Nov,CLA,CAR,LOM,1,0,0,,,,
13-09,CLA,CAR,LOM,1,0,0,,,,
7-Jan,CLA,CAR,MCG,1,0,0,,,,
11-Feb,CLA,CAR,MCG,1,0,0,,,,
6-May,CLA,CAR,MCG,1,0,0,,,,
1-Jul,CLA,CAR,MCG,1,0,0,,,,
7-Jul,CLA,CAR,MCG,1,0,0,,,,
3-Sep,CLA,CAR,MCG,1,0,0,,,,
5-Nov,CLA,CAR,MCG,1,0,0,,,,
5-Dec,CLA,CAR,MCG,1,0,0,,,,
13-08,CLA,CAR,MCG,1,0,0,,,,
6-Feb,CLA,CAR,RYB,1,0,0,,,,
9-Jul,CLA,CAR,RYB,1,0,0,,,,
4-Sep,CLA,CAR,RYB,1,0,0,,,,
3-Oct,CLA,CAR,RYB,1,0,0,,,,
1-Dec,CLA,CAR,RYB,1,0,0,,,,
13-02,CLA,CAR,RYB,1,0,0,,,,
2-Jan,CLA,CAR,SCOTT HOLM,1,0,0,,,,
13-08,CLA,CAR,WIL,1,0,0,,,,
1-Jul,CLA,CAR,XXX,1,1,1,,,,
4-Jul,CLA,CAR,XXX,1,1,1,,,,
5-Jul,CLA,CAR,XXX,1,1,1,,,,
6-Jul,CLA,CAR,XXX,1,1,1,,,,
9-Nov,CLA,CAR,XXX,1,1,1,,,,
8-Dec,CLA,CAR,XXX,1,1,1,,,,
13-06,CLA,CAR,XXX,1,1,1,,,,
6-Mar,CLA,CLIFF JOHNSON,XXX,1,1,1,,,,
5-Dec,CLA,CONSERVATIVE,XXX,1,1,1,,,,
8-Dec,CLA,DAVID WIESTER,DAN L. WITT,1,0,0,,,,
8-Sep,CLA,EVE,CAR,1,0,0,,,,
3-Oct,CLA,EVE,FIS,1,0,0,,,,
2-Mar,CLA,EVE,KOL,1,0,0,,,,
4-Mar,CLA,EVE,KOL,2,0,0,,,,
1-Apr,CLA,EVE,KOL,1,0,0,,,,
13-04,CLA,EVE,KOL,1,0,0,,,,
5-Jan,CLA,EVE,LOM,1,0,0,,,,
1-Apr,CLA,EVE,LOM,1,0,0,,,,
3-Apr,CLA,EVE,LOM,1,0,0,,,,
9-Apr,CLA,EVE,LOM,2,0,0,,,,
6-Sep,CLA,EVE,LOM,1,0,0,,,,
6-Nov,CLA,EVE,LOM,1,0,0,,,,
10-Dec,CLA,EVE,LOM,1,0,0,,,,
1-Apr,CLA,EVE,MCG,1,0,0,,,,
3-Apr,CLA,EVE,MCG,1,0,0,,,,
6-May,CLA,EVE,MCG,1,0,0,,,,
7-Oct,CLA,EVE,MCG,1,0,0,,,,
3-Feb,CLA,EVE,RYB,1,0,0,,,,
8-May,CLA,EVE,RYB,1,0,0,,,,
10-Jul,CLA,EVE,RYB,1,0,0,,,,
2-Aug,CLA,EVE,RYB,1,0,0,,,,
4-Dec,CLA,EVE,RYB,1,0,0,,,,
11-Dec,CLA,EVE,RYB,1,0,0,,,,
6-Jan,CLA,EVE,XXX,1,1,1,,,,
10-Apr,CLA,EVE,XXX,1,1,1,,,,
2-Jul,CLA,EVE,XXX,1,1,1,,,,
2-Sep,CLA,EVE,XXX,1,1,1,,,,
5-Sep,CLA,EVE,XXX,1,1,1,,,,
8-Sep,CLA,EVE,XXX,1,1,1,,,,
2-Oct,CLA,EVE,XXX,1,1,1,,,,
3-Oct,CLA,EVE,XXX,1,1,1,,,,
4-Oct,CLA,EVE,XXX,1,1,1,,,,
5-Nov,CLA,EVE,XXX,1,1,1,,,,
5-Dec,CLA,EVE,XXX,2,1,2,,,,
13-04,CLA,EVE,XXX,2,1,2,,,,
8-Dec,CLA,FIS,CAR,1,0,0,,,,
8-Apr,CLA,FIS,EVE,1,0,0,,,,
2-Jun,CLA,FIS,EVE,1,0,0,,,,
13-05,CLA,FIS,FLO,1,0,0,,,,
13-08,CLA,FIS,FRA,1,0,0,,,,
10-Aug,CLA,FIS,KOL,1,0,0,,,,
6-Jul,CLA,FIS,LOM,1,0,0,,,,
5-Jan,CLA,FIS,MCG,1,0,0,,,,
8-Jun,CLA,FIS,MCG,1,0,0,,,,
6-Nov,CLA,FIS,MCG,1,0,0,,,,
4-Jan,CLA,FIS,RYB,1,0,0,,,,
4-Apr,CLA,FIS,RYB,1,0,0,,,,
2-Jun,CLA,FIS,RYB,1,0,0,,,,
4-Jun,CLA,FIS,RYB,1,0,0,,,,
10-Aug,CLA,FIS,RYB,1,0,0,,,,
3-Oct,CLA,FIS,RYB,1,0,0,,,,
13-10,CLA,FIS,WIL,1,0,0,,,,
7-Jan,CLA,FLO,CAR,1,0,0,,,,
13-09,CLA,FLO,EVE,1,0,0,,,,
2-Jan,CLA,FLO,FIS,1,0,0,,,,
9-Feb,CLA,FLO,FIS,1,0,0,,,,
3-Jun,CLA,FLO,FIS,1,0,0,,,,
8-Aug,CLA,FLO,FIS,1,0,0,,,,
5-Nov,CLA,FLO,FIS,1,0,0,,,,
4-Jan,CLA,FLO,FRA,2,0,0,,,,
4-Apr,CLA,FLO,FRA,1,0,0,,,,
3-Jul,CLA,FLO,FRA,1,0,0,,,,
4-Aug,CLA,FLO,FRA,1,0,0,,,,
9-Aug,CLA,FLO,FRA,2,0,0,,,,
7-Nov,CLA,FLO,FRA,1,0,0,,,,
8-Dec,CLA,FLO,FRA,1,0,0,,,,
13-06,CLA,FLO,FRA,1,0,0,,,,
4-Jun,CLA,FLO,JESSE VENTURA,1,0,0,,,,
1-Feb,CLA,FLO,KOL,1,0,0,,,,
9-Mar,CLA,FLO,KOL,1,0,0,,,,
4-Aug,CLA,FLO,KOL,1,0,0,,,,
1-Sep,CLA,FLO,KOL,1,0,0,,,,
9-Nov,CLA,FLO,KOL,1,0,0,,,,
7-Dec,CLA,FLO,KOL,1,0,0,,,,
13-05,CLA,FLO,KOL,1,0,0,,,,
8-Jun,CLA,FLO,LOM,1,0,0,,,,
7-Nov,CLA,FLO,LOM,1,0,0,,,,
13-04,CLA,FLO,LOM,1,0,0,,,,
8-Aug,CLA,FLO,MCG,1,0,0,,,,
8-Jan,CLA,FLO,RYB,1,0,0,,,,
10-Jan,CLA,FLO,RYB,1,0,0,,,,
3-Feb,CLA,FLO,RYB,1,0,0,,,,
6-Apr,CLA,FLO,RYB,2,0,0,,,,
10-May,CLA,FLO,RYB,1,0,0,,,,
8-Aug,CLA,FLO,RYB,1,0,0,,,,
6-Oct,CLA,FLO,RYB,1,0,0,,,,
5-Nov,CLA,FLO,RYB,1,0,0,,,,
5-Dec,CLA,FLO,RYB,1,0,0,,,,
11-Dec,CLA,FLO,XXX,1,1,1,,,,
1-Dec,CLA,FRA,CAR,1,0,0,,,,
11-Feb,CLA,FRA,EVE,1,0,0,,,,
9-Jul,CLA,FRA,EVE,1,0,0,,,,
8-Mar,CLA,FRA,FIS,1,0,0,,,,
1-May,CLA,FRA,FIS,1,0,0,,,,
4-Jun,CLA,FRA,FIS,1,0,0,,,,
2-May,CLA,FRA,FLO,1,0,0,,,,
3-Jun,CLA,FRA,FLO,1,0,0,,,,
7-Nov,CLA,FRA,FLO,1,0,0,,,,
8-Dec,CLA,FRA,FLO,2,0,0,,,,
13-01,CLA,FRA,FLO,1,0,0,,,,
6-Apr,CLA,FRA,KOL,1,0,0,,,,
7-Apr,CLA,FRA,KOL,1,0,0,,,,
10-May,CLA,FRA,KOL,1,0,0,,,,
6-Jul,CLA,FRA,KOL,1,0,0,,,,
13-08,CLA,FRA,KOL,1,0,0,,,,
1-Jan,CLA,FRA,LOM,1,0,0,,,,
2-Feb,CLA,FRA,LOM,1,0,0,,,,
5-Nov,CLA,FRA,LOM,1,0,0,,,,
10-Dec,CLA,FRA,LOM,1,0,0,,,,
10-Oct,CLA,FRA,MCG,1,0,0,,,,
3-Nov,CLA,FRA,MCG,1,0,0,,,,
8-Nov,CLA,FRA,MCG,1,0,0,,,,
13-03,CLA,FRA,MCG,1,0,0,,,,
3-Jan,CLA,FRA,RYB,1,0,0,,,,
3-Mar,CLA,FRA,RYB,1,0,0,,,,
7-Apr,CLA,FRA,RYB,1,0,0,,,,
10-Sep,CLA,FRA,RYB,1,0,0,,,,
5-Nov,CLA,FRA,RYB,1,0,0,,,,
8-Nov,CLA,FRA,RYB,1,0,0,,,,
9-Nov,CLA,FRA,RYB,2,0,0,,,,
2-Dec,CLA,FRA,RYB,1,0,0,,,,
5-Dec,CLA,FRA,RYB,1,0,0,,,,
6-Dec,CLA,FRA,RYB,1,0,0,,,,
11-Dec,CLA,FRA,RYB,2,0,0,,,,
13-02,CLA,FRA,RYB,2,0,0,,,,
13-03,CLA,FRA,RYB,1,0,0,,,,
13-06,CLA,FRA,RYB,1,0,0,,,,
10-Jan,CLA,FRA,WIL,1,0,0,,,,
5-Jan,CLA,FRA,XXX,1,1,1,,,,
6-Jan,CLA,FRA,XXX,1,1,1,,,,
8-Jan,CLA,FRA,XXX,1,1,1,,,,
7-Mar,CLA,FRA,XXX,1,1,1,,,,
8-Apr,CLA,FRA,XXX,1,1,1,,,,
10-Apr,CLA,FRA,XXX,1,1,1,,,,
1-Jul,CLA,FRA,XXX,1,1,1,,,,
8-Jul,CLA,FRA,XXX,1,1,1,,,,
8-Nov,CLA,FRA,XXX,1,1,1,,,,
9-Dec,CLA,FRA,XXX,1,1,1,,,,
11-Dec,CLA,FRA,XXX,1,1,1,,,,
13-04,CLA,FRA,XXX,1,1,1,,,,
13-05,CLA,FRA,XXX,1,1,1,,,,
4-Jan,CLA,FRANK ZAPPA,THOMAS WALKER,1,0,0,,,,
5-Feb,CLA,GLENN BECK,DAVID HOBAN,1,0,0,,,,
13-05,CLA,GLENN SPANDE,CHRIS BAKER,1,0,0,,,,
9-Sep,CLA,IRFAN CHAUDHRY,XXX,1,1,1,,,,
4-Nov,CLA,JODY HARMON,LYNN HARMON,1,0,0,,,,
10-Aug,CLA,KOL,ADAM  V JOHNSON,1,0,0,,,,
6-Jan,CLA,KOL,CAR,1,0,0,,,,
9-Jan,CLA,KOL,CAR,1,0,0,,,,
8-Jul,CLA,KOL,CAR,1,0,0,,,,
7-Aug,CLA,KOL,CAR,1,0,0,,,,
8-Aug,CLA,KOL,CAR,1,0,0,,,,
9-Sep,CLA,KOL,CAR,1,0,0,,,,
3-Oct,CLA,KOL,CAR,1,0,0,,,,
5-Nov,CLA,KOL,CAR,1,0,0,,,,
6-Nov,CLA,KOL,CAR,1,0,0,,,,
8-Nov,CLA,KOL,CAR,1,0,0,,,,
13-02,CLA,KOL,CAR,1,0,0,,,,
13-05,CLA,KOL,CAR,1,0,0,,,,
13-09,CLA,KOL,CAR,1,0,0,,,,
1-Jan,CLA,KOL,EVE,1,0,0,,,,
6-Feb,CLA,KOL,EVE,1,0,0,,,,
1-Apr,CLA,KOL,EVE,1,0,0,,,,
3-Jul,CLA,KOL,EVE,1,0,0,,,,
4-Jan,CLA,KOL,FIS,1,0,0,,,,
4-Mar,CLA,KOL,FIS,1,0,0,,,,
5-Mar,CLA,KOL,FIS,1,0,0,,,,
6-Aug,CLA,KOL,FIS,1,0,0,,,,
13-07,CLA,KOL,FIS,1,0,0,,,,
4-Mar,CLA,KOL,FLO,1,0,0,,,,
9-Mar,CLA,KOL,FLO,1,0,0,,,,
1-Oct,CLA,KOL,FLO,1,0,0,,,,
